nrClients,clientIndex,rep,threads,concurrency,avg,std,tps
2,1,3,1,31,1925,2691.43,16090
2,0,4,1,31,2015,2459.24,15365
2,1,4,1,31,1941,2430.53,15955
2,0,5,1,31,1997,2433.92,15505
2,1,5,1,31,1921,2411.54,16116
2,0,1,1,36,2242,2769.98,16039
2,1,1,1,36,2135,2724.62,16844
2,0,2,1,36,2184,2637.8,16466
2,1,2,1,36,2096,2594.5,17157
2,0,3,1,36,2254,2717.45,15958
2,1,3,1,36,2162,2681.42,16641
2,0,4,1,36,2213,2559.29,16255
2,1,4,1,36,2143,2545.47,16782
2,0,5,1,36,2149,2462.27,16735
2,1,5,1,36,2090,2454.64,17200
2,0,1,1,41,2456,2733.98,16677
2,1,1,1,41,2337,2686.92,17533
2,0,2,1,41,2430,2675.25,16857
2,1,2,1,41,2332,2648.23,17569
2,0,3,1,41,2440,2760.81,16788
2,1,3,1,41,2319,2726.55,17664
2,0,4,1,41,2440,2607.77,16789
2,1,4,1,41,2356,2586.37,17385
2,0,5,1,41,2369,2681.86,17289
2,1,5,1,41,2317,2670.46,17677
2,0,1,1,46,2644,2769.32,17385
2,1,1,1,46,2573,2753.19,17866
2,0,2,1,46,2621,2672.17,17537
2,1,2,1,46,2522,2662.0,18227
2,0,3,1,46,2616,3055.06,17567
2,1,3,1,46,2548,3012.36,18041
2,0,4,1,46,2619,2825.06,17554
2,1,4,1,46,2555,2812.89,17989
2,0,5,1,46,2682,2859.78,17139
2,1,5,1,46,2595,2840.2,17719
2,0,1,1,51,2954,3027.23,17251
2,1,1,1,51,2811,2986.31,18131
2,0,2,1,51,2840,3199.36,17946
2,1,2,1,51,2753,3210.36,18513
2,0,3,1,51,2865,2970.55,17790
2,1,3,1,51,2751,2948.09,18528
2,0,4,1,51,2879,2902.99,17706
2,1,4,1,51,2767,2877.12,18418
2,0,5,1,51,2855,2954.95,17856
2,1,5,1,51,2759,2924.5,18480
2,0,1,1,56,3148,2998.16,17777
2,1,1,1,56,3034,2958.11,18445
2,0,2,1,56,3127,3205.32,17899
2,1,2,1,56,2995,3180.32,18685
2,0,3,1,56,3121,3092.09,17935
2,1,3,1,56,3027,3067.07,18489
2,0,4,1,56,3075,3043.25,18200
2,1,4,1,56,3010,3030.14,18597
2,0,5,1,56,3111,3104.1,17993
2,1,5,1,56,3003,3069.2,18635
2,0,1,1,61,3330,3123.31,18310
2,1,1,1,61,3209,3089.2,18997
2,0,2,1,61,3309,3095.12,18425
2,1,2,1,61,3216,3078.61,18964
2,0,3,1,61,3257,3039.16,18721
2,1,3,1,61,3164,3019.54,19267
2,0,4,1,61,3212,3038.22,18977
2,1,4,1,61,3178,3045.53,19187
2,0,5,1,61,3269,2984.45,18647
2,1,5,1,61,3166,2974.89,19256
2,0,1,1,64,3462,3107.77,18477
2,1,1,1,64,3323,3080.32,19254
2,0,2,1,64,3363,3787.74,19022
2,1,2,1,64,3268,3763.0,19576
2,0,3,1,64,3415,3337.31,18735
2,1,3,1,64,3306,3306.42,19350
2,0,4,1,64,3440,3067.51,18597
2,1,4,1,64,3327,3048.97,19230
2,0,5,1,64,3479,3216.27,18391
2,1,5,1,64,3377,3181.58,18944
