nrClients,clientIndex,rep,threads,concurrency,overwrite,time,avg,std,tps
2,1,12,1,2,1.0,60,23.0,7.65,84984.0
2,2,12,1,2,1.0,60,22.0,10.04,85264.0
1,1,13,1,2,1.0,60,21.0,6.37,90859.0
2,1,13,1,2,1.0,60,23.0,7.71,84354.0
2,2,13,1,2,1.0,60,23.0,7.4,84497.0
1,1,14,1,2,1.0,60,21.0,7.64,89865.0
2,1,14,1,2,1.0,60,23.0,7.67,84901.0
2,2,14,1,2,1.0,60,23.0,7.52,84931.0
1,1,15,1,2,1.0,60,20.0,7.25,94198.0
2,1,15,1,2,1.0,60,23.0,8.41,83849.0
2,2,15,1,2,1.0,60,23.0,8.43,83882.0
1,1,16,1,2,1.0,60,22.0,7.43,86773.0
2,1,16,1,2,1.0,60,23.0,8.62,83944.0
2,2,16,1,2,1.0,60,23.0,7.98,83840.0
1,1,17,1,2,1.0,60,21.0,6.42,91833.0
2,1,17,1,2,1.0,60,23.0,8.27,83659.0
2,2,17,1,2,1.0,60,23.0,8.81,82854.0
1,1,18,1,2,1.0,60,21.0,5.7,92348.0
2,1,18,1,2,1.0,60,23.0,8.66,83261.0
2,2,18,1,2,1.0,60,23.0,8.96,83119.0
1,1,19,1,2,1.0,60,21.0,7.53,90208.0
2,1,19,1,2,1.0,60,23.0,8.66,84016.0
2,2,19,1,2,1.0,60,23.0,8.48,83662.0
1,1,20,1,2,1.0,60,20.0,7.99,94595.0
2,1,20,1,2,1.0,60,23.0,7.65,84449.0
2,2,20,1,2,1.0,60,22.0,9.33,85901.0
1,1,21,1,2,1.0,60,21.0,7.96,89517.0
2,1,21,1,2,1.0,60,22.0,8.59,86846.0
2,2,21,1,2,1.0,60,22.0,8.35,87073.0
1,1,22,1,2,1.0,60,21.0,5.6,92407.0
2,1,22,1,2,1.0,60,23.0,8.92,82574.0
2,2,22,1,2,1.0,60,23.0,9.56,81950.0
1,1,23,1,2,1.0,60,21.0,6.71,91035.0
2,1,23,1,2,1.0,60,23.0,10.0,81787.0
2,2,23,1,2,1.0,60,23.0,9.02,82827.0
1,1,24,1,2,1.0,60,21.0,6.25,91964.0
2,1,24,1,2,1.0,60,23.0,7.8,84184.0
2,2,24,1,2,1.0,60,23.0,7.18,84892.0
1,1,25,1,2,1.0,60,21.0,5.29,92750.0
2,1,25,1,2,1.0,60,22.0,9.1,86306.0
2,2,25,1,2,1.0,60,22.0,9.03,86751.0
1,1,1,1,4,1.0,60,34.0,14.61,114787.0
2,1,1,1,4,1.0,60,33.0,12.01,118890.0
2,2,1,1,4,1.0,60,33.0,15.0,116380.0
1,1,2,1,4,1.0,60,32.0,13.37,120903.0
2,1,2,1,4,1.0,60,34.0,14.1,114508.0
2,2,2,1,4,1.0,60,32.0,13.49,120613.0
1,1,3,1,4,1.0,60,35.0,15.38,111024.0
2,1,3,1,4,1.0,60,34.0,15.36,113235.0
2,2,3,1,4,1.0,60,36.0,14.56,109186.0
1,1,4,1,4,1.0,60,34.0,15.45,113088.0
2,1,4,1,4,1.0,60,34.0,14.92,114075.0
2,2,4,1,4,1.0,60,33.0,14.06,116722.0
1,1,5,1,4,1.0,60,33.0,15.71,115924.0
2,1,5,1,4,1.0,60,33.0,14.08,117299.0
2,2,5,1,4,1.0,60,35.0,14.88,110337.0
1,1,6,1,4,1.0,60,35.0,16.49,110906.0
2,1,6,1,4,1.0,60,34.0,14.14,114345.0
2,2,6,1,4,1.0,60,35.0,14.99,111018.0
1,1,7,1,4,1.0,60,34.0,15.86,113173.0
2,1,7,1,4,1.0,60,36.0,15.46,108754.0
2,2,7,1,4,1.0,60,34.0,12.88,115213.0
1,1,8,1,4,1.0,60,35.0,15.86,110175.0
2,1,8,1,4,1.0,60,39.0,53.36,101079.0
2,2,8,1,4,1.0,60,37.0,52.4,105481.0
1,1,9,1,4,1.0,60,35.0,15.76,110518.0
2,1,9,1,4,1.0,60,36.0,15.24,108154.0
2,2,9,1,4,1.0,60,33.0,13.73,117392.0
1,1,10,1,4,1.0,60,33.0,13.05,117861.0
2,1,10,1,4,1.0,60,35.0,14.15,112153.0
2,2,10,1,4,1.0,60,34.0,15.02,113902.0
1,1,11,1,4,1.0,60,35.0,15.2,110833.0
2,1,11,1,4,1.0,60,33.0,14.46,116315.0
2,2,11,1,4,1.0,60,34.0,13.57,114454.0
1,1,12,1,4,1.0,60,34.0,14.92,114030.0
2,1,12,1,4,1.0,60,33.0,14.77,116295.0
2,2,12,1,4,1.0,60,34.0,12.43,115389.0
1,1,13,1,4,1.0,60,33.0,15.48,115464.0
2,1,13,1,4,1.0,60,34.0,12.23,116077.0
2,2,13,1,4,1.0,60,33.0,12.78,118162.0
1,1,14,1,4,1.0,60,35.0,16.46,110002.0
2,1,14,1,4,1.0,60,33.0,14.08,116889.0
2,2,14,1,4,1.0,60,33.0,14.63,116220.0
1,1,15,1,4,1.0,60,36.0,15.44,108608.0
2,1,15,1,4,1.0,60,33.0,14.05,116490.0
2,2,15,1,4,1.0,60,34.0,12.95,115243.0
1,1,16,1,4,1.0,60,35.0,15.04,112071.0
2,1,16,1,4,1.0,60,33.0,13.89,117582.0
2,2,16,1,4,1.0,60,35.0,14.26,112401.0
1,1,17,1,4,1.0,60,38.0,18.01,102549.0
2,1,17,1,4,1.0,60,34.0,14.62,114658.0
2,2,17,1,4,1.0,60,35.0,16.49,112404.0
1,1,18,1,4,1.0,60,35.0,15.78,110895.0
2,1,18,1,4,1.0,60,34.0,12.22,115600.0
2,2,18,1,4,1.0,60,33.0,13.18,117830.0
1,1,19,1,4,1.0,60,34.0,14.09,115110.0
2,1,19,1,4,1.0,60,34.0,14.88,114116.0
